strategy,algorithm,query_row_index,query_book_id,query_title,query_course_id,predicted_classes,top_result_row_index,top_result_book_id,top_result_course_id,precision@1,recall@1,f1@1,hit@1,precision@3,recall@3,f1@3,hit@3,precision@5,recall@5,f1@5,hit@5,mrr
cosine_only,ann,301,302,คู่มือใช้งาน IPhone 4S IOS5 ฉบับสมบูรณ์,4,,597,598,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.021052631578947368,0.039999999999999994,1.0,0.25
cosine_only,ann,33,34,เทคนิคดิจิตอล ภาคทฤษฎี,5,,35,36,5,1.0,0.125,0.2222222222222222,1.0,0.3333333333333333,0.125,0.18181818181818182,1.0,0.2,0.125,0.15384615384615385,1.0,1.0
cosine_only,ann,440,441,การโปรแกรมเชิงเส้นเบื้องต้น Elementary Linear Programming,6,,699,700,25,0.0,0.0,0.0,0.0,0.6666666666666666,0.05263157894736842,0.09756097560975609,1.0,0.6,0.07894736842105263,0.1395348837209302,1.0,0.5
cosine_only,ann,395,396,100 เรื่องต้องรู้ก่อนโตคอมพิวเตอร์และโค้ดดิ้ง,1,,731,732,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosine_only,ann,409,410,การวิเคราะห์ข้อมูลโดย SAS และ SPSS,23,,408,409,23,1.0,0.02857142857142857,0.05555555555555556,1.0,1.0,0.08571428571428572,0.15789473684210528,1.0,1.0,0.14285714285714285,0.25,1.0,1.0
cosine_only,ann,667,668,คัมภีร์ ภาษา C เหมาะสำหรับโปรเเกรมเมอร์ และ ผู้สนใจคอมพิวเตอร์,1,,727,728,2,0.0,0.0,0.0,0.0,0.6666666666666666,0.019801980198019802,0.038461538461538464,1.0,0.8,0.039603960396039604,0.07547169811320754,1.0,0.5
cosine_only,ann,161,162,เทคนิคการเชื่อมต่อ IoT บนแพลตฟอร์ม ไมโครคอนโทรลเลอร์ Arduino,15,,94,95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.13333333333333333,1.0,0.25
cosine_only,ann,455,456,การวิเคราะห์การถดถอย,23,,451,452,23,1.0,0.02857142857142857,0.05555555555555556,1.0,1.0,0.08571428571428572,0.15789473684210528,1.0,1.0,0.14285714285714285,0.25,1.0,1.0
cosine_only,ann,410,411,มาตรฐานข้อมูล statXML,23,,4,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosine_only,ann,284,285,เทอร์โมโปรล็อกและระบบผู้เชี่ยวชาญ,2,,617,618,2,1.0,0.02564102564102564,0.05,1.0,0.3333333333333333,0.02564102564102564,0.047619047619047616,1.0,0.2,0.02564102564102564,0.045454545454545456,1.0,1.0
